Город,Район,Ссылка,Цена,Время,Наименование
moskva,"Красносельская,100 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_serebristyy_2161920044,26 500,6 часов назад,iPhone X 256Gb Серебристый
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/prodam_apple_iphone_x_64gb_space_gray_2097360789,40 000,1 неделю назад,Продам Apple iPhone X 64GB Space Gray
moskva,"Автозаводская,100 м",https://www.avito.ru/moskva/telefony/iphone_x_256_space_gray_2111365303,40 000,1 неделю назад,iPhone x 256 space gray
moskva,"Белорусская,900 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_256_gb_2060220668,40 000,1 неделю назад,Телефон iPhone X 256 GB
moskva,"Библиотека им. Ленина,700 м",https://www.avito.ru/moskva/telefony/iphone_x_ayfon_10_2133935401,40 000,3 недели назад,iPhone x (Айфон 10 )
moskva,"Киевская,700 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_256_gb_2085292681,40 000,3 недели назад,Телефон iPhone X 256 gb
moskva,"Хорошёво,100 м",https://www.avito.ru/moskva/telefony/telefon_iphone_10_xmax_pro_2112287479,40 000,3 недели назад,Телефон iPhone 10 xmax pro
moskva,Сокольники,https://www.avito.ru/moskva/telefony/iphone_x_64_gb_dostavka_2139394250,27 990,8 часов назад,iPhone X 64 Gb доставка
moskva,"Савёловская,200 м",https://www.avito.ru/moskva/telefony/iphone_x_2148639659,22 990,7 часов назад,iPhone X
moskva,Менделеевская,https://www.avito.ru/moskva/telefony/originalnyy_displey_iphone_x_xs_xr_xs_max_1907267498,5 900,4 дня назад,"Оригинальный дисплей iPhone X, XS, XR, XS max"
moskva,Таганская,https://www.avito.ru/moskva/telefony/iphone_x_i_iphone_11_2157920504,40 000,3 недели назад,iPhone X и iPhone 11
moskva,"Коломенская,100 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_256_gb_2082622494,40 000,3 недели назад,Телефон iPhone X 256 gb
moskva,Сокольники,https://www.avito.ru/moskva/telefony/iphone_10_xs_max_2023226787,39 999,2 недели назад,iPhone 10 xs max
moskva,"Люблино,1,9 км",https://www.avito.ru/moskva/telefony/telefon_iphone_x_2173171541,39 990,1 неделю назад,Телефон iPhone X
moskva,"Алексеевская,500 м",https://www.avito.ru/moskva/telefony/telefon_iphone_10_xs_max_2044541583,39 500,1 неделю назад,Телефон iPhone 10 xs max
moskva,Савёловская,https://www.avito.ru/moskva/telefony/iphone_x_skupka_tehniki_1870758285,39 490,2 недели назад,iPhone X Скупка Техники
moskva,"Савёловская,100 м",https://www.avito.ru/moskva/telefony/iphone_x._skupka_tehniki_1870739927,39 090,3 дня назад,iPhone X. Скупка Техники
moskva,"Марксистская,600 м",https://www.avito.ru/moskva/telefony/telefon_iphone_10_x_2074697335,39 000,2 дня назад,Телефон iPhone 10 x
moskva,"Рязанский проспект,100 м",https://www.avito.ru/moskva/telefony/telefon_iphone_10_2105344601,39 000,5 дней назад,Телефон iPhone 10
moskva,"Перово,1,2 км",https://www.avito.ru/moskva/telefony/telefon_iphone_x_2117785293,39 000,1 неделю назад,Телефон iPhone X
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_chernyy._novyy._original._garantiya_2021352991,38 990,1 неделю назад,iPhone X 64Gb чёрный. Новый. Оригинал. Гарантия
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_belyy._novyy._original._garantiya_2021195498,38 990,1 неделю назад,iPhone X 64Gb белый. Новый. Оригинал. Гарантия
moskva,"Савёловская,200 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_seryy_kosmos_black_garantiya._novyy_2085163403,38 990,1 неделю назад,iPhone X 64Gb серый космос (Black) Гарантия. Новый
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_xxrxsxs_max_2061900625,38 990,3 недели назад,iPhone X/XR/XS/XS MAX
moskva,"Савёловская,100 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_space_gray._skupka_tehniki_1838578801,38 590,1 неделю назад,iPhone X 64GB Space Gray. Скупка Техники
moskva,"Алтуфьево,3,1 км",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_512_2164389921,38 000,6 часов назад,iPhone 10 xs max 512
moskva,"Мичуринский проспект,1 км",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_gold_256_2170771387,38 000,1 день назад,iPhone 10 xs max gold 256
moskva,"Митино,200 м",https://www.avito.ru/moskva/telefony/iphone_x_apple_wath_3_2137349276,38 000,1 неделю назад,iPhone x + apple wath 3
moskva,Каховская,https://www.avito.ru/moskva/telefony/iphone_x_silver_64_gb_2046430260,38 000,1 неделю назад,iPhone X Silver 64 Гб
moskva,"Водный стадион,300 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_256_2147776593,38 000,2 недели назад,iPhone 10 XS MAX 256
moskva,"Калужская,100 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_64gb_silver_2024423546,38 000,3 недели назад,Телефон iPhone X 64gb silver
moskva,"Белорусская,100 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_space_gray_2136465813,38 000,3 недели назад,iPhone x 256gb space gray
moskva,"Планерная,300 м",https://www.avito.ru/moskva/telefony/smartfon_apple_iphone_x_64gb_space_grey_2117560422,37 690,2 дня назад,Смартфон Apple iPhone X 64Gb Space Grey
moskva,Менделеевская,https://www.avito.ru/moskva/telefony/originalnyy_displey_iphone_x_xs_xr_xs_max_1907267498,5 900,4 дня назад,"Оригинальный дисплей iPhone X, XS, XR, XS max"
moskva,"Смоленская,400 м",https://www.avito.ru/moskva/telefony/originalnyy_displey_iphone_x_xr_xs_max_11pro_1808764254,4 000,5 дней назад,"Оригинальный Дисплей iPhone X, XR, XS, Max, 11,Pro"
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_2022338402,26 000,3 дня назад,iPhone X
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_seryy_kosmos_2146439737,37 500,2 недели назад,"iPhone X 256GB, серый космос"
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_serebristyy_2146597706,37 500,2 недели назад,"iPhone X 256GB, серебристый"
moskva,"Арбатская,600 м",https://www.avito.ru/moskva/telefony/prodam_ayfon_x_256_gb_tsvet_-_seryy_kosmos_rst_2160228661,37 500,2 недели назад,"Продам айфон X (256 Гб), цвет - серый космос, рст"
moskva,"Владыкино,700 м",https://www.avito.ru/moskva/telefony/iphone_x_256_gb_1675765006,37 000,20 часов назад,iPhone X 256 gb
moskva,"Тульская,1 км",https://www.avito.ru/moskva/telefony/iphone_12_pro_vnutri_vse_ot_iphone_x_2128042389,37 000,1 день назад,iPhone 12 Pro (внутри все от iPhone X)
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_hovyy_rostest_garantiya_1763499462,37 000,5 дней назад,iPhone X 64Gb Hовый Ростест Гарантия
moskva,"Международная,100 м",https://www.avito.ru/moskva/predlozheniya_uslug/remont_zamena_stekla_displeya_iphone_8_x_xs_11_1808015873,1 400,2 дня назад,"Ремонт Замена Стекла Дисплея iPhone 8, X, XS, 11"
moskva,Сокольники,https://www.avito.ru/moskva/telefony/iphone_x_64_gb_dostavka_2139394250,27 990,8 часов назад,iPhone X 64 Gb доставка
moskva,"Планерная,4,2 км",https://www.avito.ru/moskva/telefony/iphone_x_256_batareya_99_ekran_novyy_original_2073324823,27 000,1 день назад,"iPhone x 256 батарея 99, экран новый оригинал"
moskva,"Кузьминки,200 м",https://www.avito.ru/moskva/telefony/iphone_x_256_gb_2136973841,37 000,1 неделю назад,iPhone x 256 gb
moskva,"Калужская,1 км",https://www.avito.ru/moskva/telefony/iphone_x_2117766174,37 000,1 неделю назад,iPhone X
moskva,"Шелепиха,900 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_256_2157690565,37 000,2 недели назад,iPhone 10 xs 256
moskva,"Строгино,900 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_1965614636,37 000,2 недели назад,Телефон iPhone X
moskva,"Киевская,100 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_64_2159884815,37 000,2 недели назад,iPhone 10 xs max 64
moskva,"Алтуфьево,4,6 км",https://www.avito.ru/moskva/telefony/telefon_iphone_x_256_gb_2062703141,37 000,3 недели назад,Телефон iPhone X 256 гб
moskva,"Дубровка,100 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_10_i_chasy_apple_watch_2047832961,36 900,3 недели назад,Телефон iPhone X 10 и часы Apple Watch
moskva,"Нижегородская,300 м",https://www.avito.ru/moskva/telefony/smartfon_apple_iphone_x_256gb_space_grey_2149433164,36 790,1 неделю назад,Смартфон Apple iPhone X 256Gb Space Grey
moskva,"Киевская,300 м",https://www.avito.ru/moskva/telefony/iphone_10_2166902803,36 000,1 неделю назад,iPhone 10
moskva,"Молодежная,1,1 км",https://www.avito.ru/moskva/telefony/iphone_x_256_2053007718,36 000,2 недели назад,iPhone x 256
moskva,Пражская,https://www.avito.ru/moskva/telefony/iphone_x_64gb_2170247197,36 000,2 недели назад,iPhone X 64gb
moskva,Кантемировская,https://www.avito.ru/moskva/telefony/telefon_iphone_10_xs_max_512_2156288661,36 000,2 недели назад,Телефон iPhone 10 XS MAX 512
moskva,Медведково,https://www.avito.ru/moskva/telefony/iphone_x_64_gb_rostest_silver_s_korobkoy_1738648069,36 000,,"iPhone X 64 gb, Ростест, silver, с коробкой"
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_seryy_kosmos_2146813906,35 990,2 недели назад,"iPhone X 64GB, серый космос"
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/iphone_x_64gb_serebristyy_2145928291,35 990,2 недели назад,"iPhone X 64GB, серебристый"
